Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
189,-7.8186,-56.0273,-13.98206722041916,4.077284312049989,-0.1395498266023885
190,-10.5134,-51.243,34.46652853452026,-8.539229982526365,-0.20516753507796187
191,-8.674,-52.0496,-17.495767306485067,1.57406865327947,-0.16664873505271893
192,-8.6923,-50.1854,0.2109753285681304,-3.581583720143855,-0.1732037604562283
193,-6.8856,-50.5387,-20.785062641648345,0.7039896065389462,-0.13624410600193515
194,-9.124,-48.004,32.5084233763216,-5.015364463272698,-0.19006749437546874
195,-7.0146,-45.6765,-23.11924594476108,-4.848554287142736,-0.15357131128698565
196,-8.0254,-50.8045,14.409944971915722,11.226779635042083,-0.15796632188093573
197,-8.9615,-47.1009,11.664216113838567,-7.289905421763809,-0.19026175720633784
198,-8.4132,-47.0829,-6.118395357919981,-0.038215830270760254,-0.17868907820036573
199,-9.3457,-59.6728,11.08377311843296,26.73985672080521,-0.1566157445268196
200,-9.6865,-40.7925,3.6465968306279795,-31.639708543926215,-0.23745786602929464
201,-8.3364,-50.877,-13.937954885665626,24.72145615002759,-0.16385400082552035
202,-5.6048,-46.3216,-32.76714169185739,-8.953751203883886,-0.12099754758039447
203,-7.4528,-47.5622,32.97173850984869,2.67823218541674,-0.15669586352187242
204,-7.949,-46.4826,6.6579003864319475,-2.2698697705320625,-0.17101022748297212
205,-8.0386,-49.5936,1.1271858095357912,6.692826993326539,-0.16208946315653633
206,-9.5792,-49.1634,19.16502873634711,-0.8674506387920999,-0.19484413201690687
207,-12.0008,-39.6908,25.279772841155832,-19.267585236171627,-0.30235722132080983
208,-10.0259,-55.0504,-16.4564029064729,38.69813659588619,-0.18212220074695187
209,-9.4407,-48.6824,-5.8368824743913255,-11.567581706944907,-0.19392429296830066
210,-9.5034,-51.7607,0.6641456671645063,6.3232297503820645,-0.1836026174298261
211,-8.8854,-52.0687,-6.5029357914009545,0.5950460484498876,-0.17064762515676407
212,-10.1467,-45.2033,14.195196614671236,-13.1852725341712,-0.2244681251147593
213,-11.3013,-43.5486,11.379069056934776,-3.660573453708027,-0.25951006461746184
214,-11.4894,-38.3055,1.664410289081797,-12.039652250588995,-0.29994126169871166
215,-8.5744,-41.0254,-25.371211725590538,7.100546918849759,-0.20900222788808887
216,-8.3918,-47.6398,-2.1295950737077907,16.122694720831497,-0.17615103337965315
217,-10.9084,-43.4796,29.988798589098884,-8.732614326676435,-0.25088547272744
218,-9.5279,-44.7335,-12.655384841039929,2.8838811764597683,-0.2129925000279433
219,-8.3934,-46.8743,-11.907135885137343,4.785675165144698,-0.1790618739906516
220,-11.015,-42.4448,31.23406486048563,-9.449741116133993,-0.2595135328709288
221,-9.4673,-44.4832,-14.050839763958244,4.8024728588661025,-0.2128286634055104
222,-7.2871,-42.8187,-23.028741034930768,-3.7418620962520577,-0.17018498926870737
223,-9.4013,-41.731,29.012913230228786,-2.540245266670871,-0.22528336248831804
224,-9.9246,-38.7777,5.566251475859718,-7.076993122618669,-0.2559357568912029
225,-10.134,-39.5512,2.109908711686126,1.9947031412383964,-0.25622484273549223
226,-9.7639,-40.8234,-3.6520623643181427,3.216590141386355,-0.23917410112827447
227,-12.153,-39.0013,24.46870615225474,-4.463371497719438,-0.3116049977821252
228,-9.4558,-35.326,-22.19369702954004,-9.423532036111615,-0.26767253580931893
229,-9.2234,-41.6124,-2.457750798451741,17.7953914963483,-0.2216502773211831
230,-8.8595,-41.3208,-3.9453997441290523,-0.7007526602647363,-0.21440775590017622
231,-10.9721,-39.6337,23.845589480218955,-4.08293159861377,-0.2768376406946614
232,-11.2377,-35.4598,2.420685192442651,-10.53118936662486,-0.31691380098026495
233,-10.2679,-39.8816,-8.629879779670224,12.469895487284187,-0.25745958035785926
234,-10.3451,-41.2452,0.7518577313764485,3.419120596967007,-0.2508194892981487
235,-8.5118,-38.4397,-17.72143333558884,-6.802003627088715,-0.2214325293901877
236,-10.3795,-45.7217,21.942479851500284,18.943956378431672,-0.2270147435462811
237,-9.5261,-36.081,-8.221976010405129,-21.08561142739661,-0.2640198442393503
238,-11.6379,-36.4071,22.16856845928554,0.9037997838197365,-0.31966017617442755
239,-9.8149,-38.9407,-15.664338067864481,6.959082157051788,-0.25204734378169885
240,-11.0016,-30.9408,12.090800721352224,-20.543801215694636,-0.3555693453304375
241,-9.2098,-36.4482,-16.28672193135544,17.799798324542348,-0.2526818882688308
242,-12.3817,-32.4822,34.44048730699907,-10.881195779215435,-0.3811841562455745
243,-9.3825,-30.7869,-24.222845005128534,-5.219166189482238,-0.30475624372703974
244,-11.7489,-25.3163,25.22142286171063,-17.76924601047849,-0.4640844041190854
245,-10.5536,-31.3832,-10.17371839065786,23.964402381074645,-0.3362818323179281
246,-10.8016,-36.3352,2.349909035779274,15.779142980957971,-0.29727647019969616
247,-12.9639,-25.4658,20.018330617686274,-29.914242937977498,-0.5090709893268619
248,-10.3793,-37.4958,-19.93690170396254,47.23982753339773,-0.27681233631500063
249,-10.2554,-29.4794,-1.193722119988827,-21.379461166317306,-0.3478836068576701
250,-9.7397,-30.1387,-5.028570314175951,2.2364769974965615,-0.3231625783461131
251,-10.8292,-28.4996,11.186176165590322,-5.438522564012382,-0.3799772628387767
252,-13.3236,-24.1952,23.034019133454,-15.103369871857852,-0.5506712075122339
253,-10.9455,-24.738,-17.84877960911466,2.243420182515532,-0.44245694882367204
254,-12.5019,-25.3469,14.219542277648344,2.4613954240439995,-0.4932319139618651
